timestamp,origem,destino
2025-05-15 00:21:10,2009,2023
2025-05-15 00:21:55,441,1998
2025-05-15 00:30:06,2602,2757
2025-05-15 00:31:45,1357,628
2025-05-15 00:34:04,4939,4764
2025-05-15 00:37:19,174,3504
2025-05-15 00:57:36,4558,3411
2025-05-15 01:12:09,1662,1450
2025-05-15 01:18:10,2794,3274
2025-05-15 01:18:47,2636,142
2025-05-15 01:29:27,2834,4744
2025-05-15 01:42:37,2284,1145
2025-05-15 01:57:32,1128,2434
2025-05-15 02:01:11,606,3010
2025-05-15 02:13:43,2077,2438
2025-05-15 02:44:50,4494,2617
2025-05-15 03:44:28,1091,3188
2025-05-15 03:56:35,2307,1800
2025-05-15 03:59:37,536,3381
2025-05-15 04:00:39,778,3472
2025-05-15 04:04:47,1123,2067
2025-05-15 04:11:58,3648,3643
2025-05-15 04:13:23,1606,1389
2025-05-15 04:19:55,396,1809
2025-05-15 04:39:33,4402,2555
2025-05-15 04:44:12,3317,2863
2025-05-15 04:45:10,4911,2662
2025-05-15 05:03:49,599,4884
2025-05-15 05:23:58,736,421
2025-05-15 05:24:41,3612,1463
2025-05-15 05:27:28,2490,1718
2025-05-15 05:39:56,2134,4118
2025-05-15 05:42:26,3107,3899
2025-05-15 05:50:22,852,1277
2025-05-15 05:54:23,1198,4257
2025-05-15 05:55:06,1650,4770
2025-05-15 06:20:44,1454,3180
2025-05-15 06:36:31,4559,169
2025-05-15 06:44:47,788,4454
2025-05-15 07:33:38,4704,3726
2025-05-15 07:45:05,3020,2993
2025-05-15 08:02:55,2026,4402
2025-05-15 08:18:33,2214,2202
2025-05-15 08:31:53,2596,4466
2025-05-15 08:43:29,4993,1765
2025-05-15 08:53:36,3139,1960
2025-05-15 09:07:30,4452,4968
2025-05-15 09:09:10,3031,1195
2025-05-15 09:32:50,3289,1259
2025-05-15 09:52:29,2155,516
2025-05-15 09:58:43,875,3885
2025-05-15 09:59:22,3052,819
2025-05-15 10:00:01,3635,166
2025-05-15 10:01:54,3667,4929
2025-05-15 10:30:26,4945,2113
2025-05-15 10:30:38,160,4250
2025-05-15 10:54:28,3225,3581
2025-05-15 11:03:33,1881,1247
2025-05-15 11:15:32,1216,1794
2025-05-15 11:19:33,4634,574
2025-05-15 11:35:42,4809,892
2025-05-15 11:53:53,936,3010
2025-05-15 11:56:50,63,3915
2025-05-15 12:28:07,4180,4762
2025-05-15 12:33:39,2612,1589
2025-05-15 12:39:08,1551,4941
2025-05-15 12:42:56,995,3638
2025-05-15 12:49:00,240,691
2025-05-15 13:09:06,345,4494
2025-05-15 13:11:40,3576,4406
2025-05-15 13:35:20,1997,3199
2025-05-15 13:39:02,1577,699
2025-05-15 13:48:29,3826,3320
2025-05-15 14:04:23,865,4323
2025-05-15 14:07:44,4611,3285
2025-05-15 14:17:34,523,1454
2025-05-15 14:41:09,3096,2684
2025-05-15 14:58:43,1530,1049
2025-05-15 15:17:05,3542,583
2025-05-15 15:20:15,1410,2573
2025-05-15 15:24:24,4958,55
2025-05-15 15:31:28,905,2345
2025-05-15 15:31:46,3627,485
2025-05-15 15:32:54,2027,4581
2025-05-15 15:42:40,3702,984
2025-05-15 15:50:20,3449,4322
2025-05-15 15:53:13,341,4850
2025-05-15 15:53:52,1672,2444
2025-05-15 16:20:30,982,149
2025-05-15 16:42:23,688,572
2025-05-15 17:02:32,3340,1871
2025-05-15 17:03:52,1464,655
2025-05-15 17:07:23,912,4480
2025-05-15 17:11:55,4163,1140
2025-05-15 17:15:21,2145,4509
2025-05-15 17:18:16,4325,2927
2025-05-15 17:34:51,4943,731
2025-05-15 17:37:06,2427,2908
2025-05-15 17:56:43,1542,1330
2025-05-15 18:00:36,4591,727
2025-05-15 18:24:45,1760,2373
2025-05-15 18:31:36,3729,4642
2025-05-15 18:32:17,49,412
2025-05-15 18:48:04,4418,1873
2025-05-15 18:48:33,359,924
2025-05-15 18:48:50,3499,1955
2025-05-15 18:56:52,2043,338
2025-05-15 19:24:37,2500,807
2025-05-15 19:55:20,43,3164
2025-05-15 20:06:51,3814,2355
2025-05-15 20:21:38,4698,3514
2025-05-15 20:35:07,4648,1575
2025-05-15 20:49:58,594,1693
2025-05-15 20:55:48,997,4017
2025-05-15 21:08:33,139,3537
2025-05-15 21:09:16,3026,3870
2025-05-15 21:14:18,2820,1773
2025-05-15 21:23:38,1086,2830
2025-05-15 21:44:27,1940,1844
2025-05-15 21:47:59,3535,1759
2025-05-15 21:49:27,2355,1430
2025-05-15 21:55:41,3351,3297
2025-05-15 22:13:08,3919,1133
2025-05-15 22:23:14,4973,584
2025-05-15 22:30:38,1164,252
2025-05-15 22:42:56,4837,3014
2025-05-15 22:50:37,2228,1330
2025-05-15 22:51:07,4568,1671
2025-05-15 23:05:01,4235,365
2025-05-15 23:24:10,4345,356
2025-05-15 23:43:31,1515,2583
2025-05-15 23:50:00,2386,3037
2025-05-15 23:56:09,771,2254
2025-05-15 23:59:23,2029,649
2025-05-16 00:08:53,281,2927
2025-05-16 00:54:49,4240,2921
2025-05-16 01:22:20,1668,239
2025-05-16 01:25:59,1378,2312
2025-05-16 01:36:58,3723,4188
2025-05-16 01:40:26,4533,4207
2025-05-16 01:43:13,1424,797
2025-05-16 01:46:35,2710,228
2025-05-16 02:06:16,1758,2669
2025-05-16 02:17:25,3320,2110
2025-05-16 02:24:01,1016,3201
2025-05-16 02:45:17,2831,1497
2025-05-16 03:05:52,3768,3752
2025-05-16 03:21:17,645,4910
2025-05-16 03:25:55,1858,3528
2025-05-16 03:41:57,4717,1221
2025-05-16 04:21:03,4720,1207
2025-05-16 04:36:13,4949,1119
2025-05-16 05:13:15,3536,1012
2025-05-16 05:25:46,3734,3778
2025-05-16 05:32:57,2169,2044
2025-05-16 05:47:15,2346,2663
2025-05-16 06:06:34,4364,3984
2025-05-16 06:07:53,1399,1519
2025-05-16 06:41:22,656,4615
2025-05-16 07:58:16,4398,2011
2025-05-16 08:52:27,848,1930
2025-05-16 09:06:52,3268,835
2025-05-16 09:13:07,3085,1164
2025-05-16 09:15:46,4151,942
2025-05-16 10:33:18,669,3574
2025-05-16 10:43:09,3253,2754
2025-05-16 10:48:38,4719,2622
2025-05-16 11:03:21,2303,4743
2025-05-16 11:15:51,4655,4299
2025-05-16 11:29:25,4001,364
2025-05-16 11:40:49,3568,4753
2025-05-16 11:48:27,4834,4536
2025-05-16 12:00:20,1172,1509
2025-05-16 12:15:58,318,1973
2025-05-16 12:18:06,4977,153
2025-05-16 12:21:29,4273,3526
2025-05-16 12:48:02,2669,194
2025-05-16 12:52:02,3661,3349
2025-05-16 12:55:04,3450,3023
2025-05-16 13:58:02,2668,1854
2025-05-16 14:00:03,424,775
2025-05-16 14:04:41,1958,369
2025-05-16 14:37:03,4679,2308
2025-05-16 14:50:15,1937,3738
2025-05-16 15:16:36,2981,3956
2025-05-16 15:17:20,853,892
2025-05-16 15:18:47,2016,810
2025-05-16 15:26:49,2928,489
2025-05-16 15:28:56,2414,414
2025-05-16 15:33:49,3383,4119
2025-05-16 15:44:43,290,4622
2025-05-16 16:00:43,394,3888
2025-05-16 16:13:13,2356,4410
2025-05-16 16:14:22,4039,4093
2025-05-16 16:36:18,4715,1320
2025-05-16 16:46:41,3477,4210
2025-05-16 16:57:02,789,3695
2025-05-16 16:57:31,1604,233
2025-05-16 17:13:42,2183,2379
2025-05-16 17:22:53,2016,3075
2025-05-16 17:24:46,2601,4397
2025-05-16 17:48:09,946,3480
2025-05-16 18:12:25,1625,3428
2025-05-16 18:28:39,4861,1279
2025-05-16 18:36:43,3340,4364
2025-05-16 18:37:54,3899,3341
2025-05-16 18:55:51,2961,1602
2025-05-16 18:59:06,3949,4480
2025-05-16 19:07:27,1424,2148
2025-05-16 19:22:40,859,3457
2025-05-16 19:26:37,3703,4945
2025-05-16 19:32:30,3749,4987
2025-05-16 19:54:17,2801,1348
2025-05-16 19:56:15,221,3116
2025-05-16 19:56:21,3709,2857
2025-05-16 19:58:17,371,3296
2025-05-16 20:24:44,3477,1050
2025-05-16 20:28:56,2872,1881
2025-05-16 20:33:24,1227,3002
2025-05-16 20:42:18,1603,4254
2025-05-16 20:48:58,2572,2772
